ONS_CENSUS_2011,Local.Authority,LA.type,LA_POPULATION,LA_AREA_HEC,COUNTY_POPULATION,LA_POPULATION_OVER_COUNTY_POPULATION,CLA_16_17,CLA_16_24,CLA_18_24,,,
E09000018,Hounslow,NA,253957,5598.62,NA,NA,,,,,,
E09000019,Islington,NA,206125,1485.95,NA,NA,,,,,,
E09000020,Kensington and Chelsea,Unitary,158649,1212.95,NA,NA,,,,,,
E09000023,Lewisham,NA,275885,3514.54,NA,NA,,,,,,
E09000024,Merton,NA,199693,3760.87,NA,NA,,,,,,
E09000026,Redbridge,NA,278970,5641.14,NA,NA,,,,,,
E09000029,Sutton,NA,190146,4385.02,NA,NA,,,,,,
E09000027,Richmond upon Thames,Unitary,186990,5741.52,NA,NA,,,,,,
E09000028,Southwark,NA,288283,2885.41,NA,NA,,,,,,
S12000005,Clackmannanshire,NA,51442,15864,NA,NA,,,,,,
S12000006,Dumfries and Galloway,NA,151324,642620,NA,NA,,,,,,
S12000008,East Ayrshire,NA,122767,126212,NA,NA,,,,,,
S12000010,East Lothian,NA,99717,67918,NA,NA,,,,,,
S12000011,East Renfrewshire,NA,90574,17379,NA,NA,,,,,,
S12000013,Eilean Siar,NA,27684,305950,NA,NA,,,,,,
S12000014,Falkirk,NA,155990,29736,NA,NA,,,,,,
S12000015,Fife,NA,365198,132486,NA,NA,,,,,,
S12000017,Highland,NA,232132,2568389,NA,NA,,,,,,
S12000018,Inverclyde,NA,81485,16044,NA,NA,,,,,,
S12000019,Midlothian,NA,83187,35369,NA,NA,,,,,,
S12000020,Moray,NA,93295,223756,NA,NA,,,,,,
S12000021,North Ayrshire,NA,138146,88534,NA,NA,,,,,,
S12000023,Orkney Islands,NA,21349,98980,NA,NA,,,,,,
S12000036,City of Edinburgh,NA,476626,26333,NA,NA,,,,,,
